documento_idno,archivo_idno,archivo_nombre,archivo_nombre_abreviado,archivo_ubicacion_lugar_id,fondo,subfondo,serie,subserie,tipo_udc,unidad_documental_compuesta,tipo_documento,sigla_documento,resumen,deteriorado,fecha_inicial,fecha_inicial_raw,fecha_inicial_aproximada,fecha_final,fecha_final_raw,fecha_final_aproximada,folio_inicial,folio_final,evento_valor_sp,evento_forma_de_pago,evento_total,notas
mx-sv-doc-003356,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Juana, negra criolla de 24 años",False,1670-01-01,1670,False,1670-01-01,1670,False,22r,,370,pesos de oro común,,"Carta de compra-venta de Juana, negra criolla de 24 años, quien fue vendida en la Ciudad de México por 370 pesos de oro común."
mx-sv-doc-003355,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Antonio de la Cruz, negro Angola de 41 años",False,1669-01-01,1669,False,1669-01-01,1669,False,37r,,340,pesos de oro común,,"Carta de compra-venta de Antonio de la Cruz, negro Angola de 41 años quien fue vendido en la Ciudad de México por 340 pesos de oro común."
mx-sv-doc-003354,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de dote,,"Isabel de la Cruz, negra de 14 años",False,1668-01-01,1668,,1668-01-01,1668,,-,,350,pesos de oro común.,,"Carta de dote que menciona a Isabel de la Cruz, negra de 14 años, realizada en la ciudad de México, en 350 pesos de oro común."
mx-sv-doc-003353,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Francisca de la Cruz, mulata blanca de 18 años",False,1668-01-01,1668,False,1668-01-01,1668,False,-,,325,pesos de oro común,,"Carta de compra-venta de Francisca de la Cruz, mulata blanca de 18 años, quien fue vendida en la Ciudad de México por 325 pesos de oro común."
mx-sv-doc-003352,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Clara, negra criolla de 24 años",False,1668-01-01,1668,False,1668-01-01,1668,False,-,,400,pesos de oro común,,"Carta de compra-venta de Clara, negra criolla de 24 años, quien fue vendida en la Ciudad de México por 400 pesos de oro común."
mx-sv-doc-003351,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Josepha de la Cruz, mulata de 27 años",False,1668-01-01,1668,False,1668-01-01,1668,False,-,,320,pesos de oro común,,"Carta de compra-venta de Josepha de la Cruz, mulata de 27 años, quien fue vendida en la Ciudad de México por 320 pesos de oro común."
mx-sv-doc-003350,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Luis de la Cruz, negro de 38 años",False,1668-01-01,1668,False,1668-01-01,1668,False,-,,340,pesos de oro común,,"Carta de compra-venta de Luis de la Cruz, negro de 38 años, quien fue vendido en la Ciudad de México por 340 pesos de oro común."
mx-sv-doc-003349,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Juana, negra de 36 años",False,1668-01-01,1668,False,1668-01-01,1668,False,-,,210,pesos de oro común,,"Carta de compra-venta de Juana, negra de 36 años, quien fue vendida en la Ciudad de México por 210 pesos de oro común."
mx-sv-doc-003348,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Maria, negra criolla de 53 años",False,1667-01-01,1667,False,1667-01-01,1667,False,-,,200,pesos de oro común,,"Carta de compra-venta de Maria, negra criolla de 53 años, quien fue vendida en la Ciudad de México por 200 pesos de oro común."
mx-sv-doc-003346,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Micaela, mulata color cocho de 26 años, fue vendida en Guadalajara junto con sus hijos Domingo de 4 y Antonio de 7 años por 525 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,169r,169v,525/3,Pesos de oro común,525,
mx-sv-doc-003345,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Estefana, negra criolla de 12 años, fue vendida en Guadalajara por 200 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,166v,167v,200,Pesos de oro común,200,
mx-sv-doc-003344,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"José, mulato de color claro y pelo liso, de 18 años, fue vendido en Guadalajara por 350 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,142r,142v,350,Pesos de oro común,350,
mx-sv-doc-003343,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Isabel, mulata de 26 años y su hijo Esteban de 18 meses, fueron vendidos en Guadalajara por 470 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,140r,141v,470/2,Pesos de oro común,470,
mx-sv-doc-003342,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Ignacio Domingo, mulato de 13 años, fue vendido en Guadalajara por 300 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,136v,137v,300,Pesos de oro común,300,
mx-sv-doc-003339,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Clara, negra, y su hijo Miguel fueron vendidos en Guadalajara por 500 pesos",False,1685-01-01,1685,,1685-01-01,1685,,112r,112v,500/2,Pesos de oro común,500,
mx-sv-doc-003341,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"María de Santiago, de color moreno y 28 años, fue vendida en Guadalajara por 400 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,126r,127r,400,Pesos de oro común,400,
mx-sv-doc-003340,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Dominga, mulata prieta de 10 años, fue vendida en Guadalajara por 180 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,118v,121r,180,Pesos de oro común,180,
mx-sv-doc-003338,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,Miguel Tomás de Ascoide,,,vol,4,Carta de compra/venta,,"Antonia de los Reyes, negra de 40 años, fue vendida en Guadalajara por 200 pesos",False,1685-01-01,1685,False,1685-01-01,1685,False,110r,111r,200,Pesos de oro común,200,
mx-sv-doc-003337,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Marcela, mulata de 18 años, fue vendida en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,7v,,400,Pesos de oro común,400,
mx-sv-doc-003336,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Juana, mulata de 36 años, y sus hijos Antonio y Juana fueron vendidos en Guadalajara por 550 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,79r,79v,550/3,Pesos de oro común,550,
mx-sv-doc-003335,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Gerónimo Cortez, mulato de 24 años, fue vendido en Guadalajara por 430 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,76r,76v,430,Pesos de oro común,430,
mx-sv-doc-003334,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"José, mulato de 13 años, fue vendido en Guadalajara por 250 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,72r,72v,250,Pesos de oro común,250,
mx-sv-doc-003333,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Juana, negra, y su hija María Rosa, fueron vendidas en Guadalajara por 600 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,66r,66v,600/2,Pesos de oro común,600,
mx-sv-doc-003332,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Marcos Pascual, mulato de 22 años, fue vendido en Guadalajara por 450 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,5v,6v,450,Pesos de oro común,450,
mx-sv-doc-003331,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Francisca de la Cruz, negra Angola de 38 años",False,1667-01-01,1667,False,1667-01-01,1667,False,.-,,290,pesos de oro común,,"Carta de compra-venta de Francisca de la Cruz, negra Angola de 38 años, quien fue vendida en la Ciudad de México por 290 pesos de oro común."
mx-sv-doc-003330,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Diego, mulato de 23 años",False,1667-01-01,1667,False,1667-01-01,1667,False,-,,335,pesos de oro común,,"Carta de compra-venta de Diego, mulato de 23 años, quien fue vendido en la Ciudad de México por 335 pesos de oro común."
mx-sv-doc-003329,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de dote,,"Geronima de San Matheo, negra criolla de 26 años",False,1667-01-01,1667,,1667-01-01,1667,,.-,,400,pesos de oro común,,"Carta de dote que menciona a Geronima de San Matheo, negra criolla de 26 años, realizada en la ciudad de México, por 400 pesos de oro común."
mx-sv-doc-003328,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,lib,4636,Carta de compra/venta,,"Juana, mulata criolla de 30 años",False,1667-01-01,1667,False,1667-01-01,1667,False,f.-,,450,pesos de oro común,,"Carta de compra-venta de Juana, mulata criolla de 30 años, quien fue vendida por 450 pesos de oro común."
mx-sv-doc-003327,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Cathalina, mulata blanca criolla de 35 años",False,1666-01-01,1666,False,1666-01-01,1666,False,47r,,250,pesos de oro común,,"Carta de compra-venta de Cathalina, mulata blanca criolla de 35 años, quien fue vendida en la Ciudad de México por 250 pesos de oro común."
mx-sv-doc-003326,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Luis de la Cruz, negro de 13 años",False,1666-01-01,1666,False,1666-01-01,1666,False,43v,,310,pesos de oro común,,"Carta de compra-venta de Luis de la Cruz, negro de 13 años, quien fue vendido en la Ciudad de México por 310 pesos de oro común."
mx-sv-doc-003325,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Teresa, negra criolla de 35 años",False,1666-01-01,1666,False,1666-01-01,1666,False,27r,,300,pesos de oro común,,"Carta de compra-venta de Teresa, negra criolla de 35 años, quien fue vendido en la Ciudad de México por 300 pesos de oro común."
mx-sv-doc-003324,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Antonio de la Cruz, mulato de 18 años",False,1666-01-01,1666,False,1666-01-01,1666,False,26r,,300,pesos de oro común,,"Carta de compra-venta de Antonio de la Cruz, mulato de 18 años, quien fue vendido en la Ciudad de México por 300 pesos de oro común."
mx-sv-doc-003323,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Domingo de la Cruz, negro criollo de 25 años",False,1666-01-01,1666,False,1666-01-01,1666,False,23v,,360,pesos de oro común,,"Carta de compra-venta de Domingo de la Cruz, negro criollo de 25 años, quien fue vendido en la Ciudad de México por 360 pesos de oro común."
mx-sv-doc-003322,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Nicolas, negro criollo de 22 años, de Ciudad de México",False,1666-01-01,1666,False,1666-01-01,1666,False,8v,,350,pesos de oro común,,"Carta de compra-venta de Nicolas, negro criollo de 22 años, de Ciudad de México, quien fue vendido en esta misma ciudad por 350 pesos de oro común."
mx-sv-doc-003321,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Ana de San Joseph, mulata de 33 años",False,1666-01-01,1666,False,1666-01-01,1666,False,7r,,310,pesos de oro común,,"Carta de compra-venta de Ana de San Joseph, mulata de 33 años, quien fue vendida en la Ciudad de México por 310 pesos de oro común."
mx-sv-doc-003320,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Joseph, mulato de 19 años",False,1665-01-01,1665,False,1665-01-01,1665,False,57r,,360,pesos de oro común,,"Carta de compra-venta de Joseph, mulato de 19 años, quien fue vendido en la Ciudad de México por 360 pesos de oro común."
mx-sv-doc-003319,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Antonio, mulatillo de 4 años",False,1664-01-01,1664,,1664-01-01,1664,,f.-,,110,pesos de oro común,,"Carta de compra-venta de Antonio, mulatillo de 4 años, quien fue vendido en la Ciudad de México por 110 pesos de oro común."
mx-sv-doc-003318,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Francisco de la Cruz, mulato de 31 años",False,1663-01-01,1663,False,1663-01-01,1663,False,18r,,360,pesos de oro común,,"Carta de compra-venta de Francisco de la Cruz, mulato de 31 años, quien fue vendido en la Ciudad de México por 360 pesos de oro común."
mx-sv-doc-003317,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Nicolás de Vega,688,,,vol,4636,Carta de compra/venta,,"Juan, mulato criollo de 11 años, de Ciudad de México",False,1662-01-01,1662,False,1662-01-01,1662,False,8v,,250,pesos de oro común,,"Carta de compra-venta de Juan, mulato criollo de 11 años, de Ciudad de México, vendido en esta misma ciudad por 250 pesos de oro común."
mx-sv-doc-003316,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Maria, negra criolla de 13 años",False,1671-01-01,1671,False,1671-01-01,1671,False,411v,,350,pesos de oro común,,"Carta de compra-venta de Maria, negra criolla de 13 años, quien fue vendida en la Ciudad de México por 350 pesos de oro común."
mx-sv-doc-003315,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Juan de Galves, mulato blanco criollo de 19 años",False,1671-01-01,1671,False,1671-01-01,1671,False,400v,,325,pesos de oro común,,"Carta de compra-venta de Juan de Galves, mulato blanco criollo de 19 años, quien fue vendido en la Ciudad de México por 325 pesos de oro común."
mx-sv-doc-003314,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Juan de Dios, mulato de 16 años",False,1671-01-01,1671,False,1671-01-01,1671,False,380r,,350,pesos de oro común,,"Carta de compra-venta de Juan de Dios, mulato de 16 años, quien fue vendido en la Ciudad de México por 350 pesos de oro común."
mx-sv-doc-003313,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Domingo, negro Cafre de pasa de 16 años",False,1671-01-01,1671,False,1671-01-01,1671,False,348r,,330,pesos de oro común,,"Carta de compra-venta de Domingo, negro Cafre de pasa de 16 años, quien fue vendido en la Ciudad de México por 330 pesos de oro común."
mx-sv-doc-003312,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Simon, negro Angola de 42 años",False,1671-01-01,1671,False,1671-01-01,1671,False,243r,,300,pesos de oro común,,"Carta de compra-venta de Simon, negro Angola de 42 años, quien fue vendido en la Ciudad de México por 300 pesos de oro común."
mx-sv-doc-003310,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Teresa, mulata de 9 años, fue vendida en Guadalajara por 200 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,55v,56r,200,Pesos de oro común,200,
mx-sv-doc-003309,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Agustina de la Cruz, negra de 25 años, y su hijo Manuel de 10 meses fueron vendidos en Guadalajara por 550 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,46r,47r,550/2,Pesos de oro común,550,
mx-sv-doc-003308,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Pedro, negro de 20 años, fue vendido en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,45r,45v,400,Pesos de oro común,400,
mx-sv-doc-003307,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Matías, de 36 años, fue vendido en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,31v,,400,Pesos de oro común,400,
mx-sv-doc-003306,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Antonio, negro bozal de 16 años, fue en Guadalajara vendido por 365 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,181r,,365,Pesos de oro común,365,
mx-sv-doc-003305,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Teresa, mulata de 23 años, y su hija María de 3 meses fueron vendidas en Guadalajara por 460 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,165r,165v,460/2,Pesos de oro común,460,
mx-sv-doc-003304,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"María de Guzmán, mulata, fue vendida en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,160v,161r,400,Pesos de oro común,400,
mx-sv-doc-003243,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Bernabé Sarmiento de Vera,632,,,vol,4376,Carta de compra/venta,,"Manuel Pacheco, mulato prieto de 14 años, procedente de Cádiz",False,1683-01-01,1683,,1683-01-01,1683,,188r,,300,pesos de oro común,,"Carta de compra-venta de Manuel Pacheco, mulato prieto procedente de Cádiz, de 14 años, quien fue vendido en la Ciudad de México por 300 pesos de oro común."
mx-sv-doc-003303,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Fernando Veedor,687,,,vol,4615,Carta de compra/venta,,"Dominga, negra criolla de 36 años",False,1671-01-01,1671,False,1671-01-01,1671,False,221v,,375,pesos de oro común,,"Carta de compra-venta de Dominga, negra criolla de 36 años, quien fue vendida en la Ciudad de México por 375 pesos de oro común."
mx-sv-doc-003149,mx-sv-doc-000010,Acervo Histórico del Archivo General de Notarías de la ciudad de México,AHN-CDMX,,Martín Sariñana,629,,,vol,4362,Carta de compra/venta,,"Francisca de la Cruz, mulata de 22 años",False,1646-01-01,1646,,1646-01-01,1646,,418v,,520,pesos de oro común,,"Carta de compra-venta de Francisca de la Cruz, mulata de 22 años, quien fue vendida en la Ciudad de México por 520 pesos de oro común."
mx-sv-doc-003302,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Catalina, mulata morisca de Sayula, fue vendida en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,153v,154r,400,Pesos de oro común,400,
mx-sv-doc-003301,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Antonio, negro de 17 años, fue vendido en Guadalajara por 380 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,13r,13v,380,Pesos de oro común,380,
mx-sv-doc-003300,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"María, mulata, fue vendida en Guadalajara por 380 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,122v,,380,Pesos de oro común,380,
mx-sv-doc-003299,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Águeda, mulata de 18 años, fue vendida en Guadalajara por 425 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,117r,,425,Pesos de oro común,425,
mx-sv-doc-003298,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Nicolás de Estrada, mulato de 20 años, y Juan de Lima, negro de 20 años, fueron vendidos en Guadalajara por 850 pesos en total",False,1684-01-01,1684,False,1684-01-01,1684,False,107v,108r,850/2,Pesos de oro común,850,
mx-sv-doc-003297,mx-sv-doc-000007,Archivo de Instrumentos Públicos del Estado de Jalisco,AIPJ,86,Escribanos,José López Ramírez,,,vol,3,Carta de compra/venta,,"Diego, mulato de 19 años, fue vendido en Guadalajara por 400 pesos",False,1684-01-01,1684,False,1684-01-01,1684,False,106r,106v,400,Pesos de oro común,400,
